service_name,service_description,provider_name,seller_tags,avg_speed_reply,delivery_period,number_of_buyers,extra_service,extra_service_fee,last_buyer_review,service_Link,seller_picture_link
 ٌإستخلاص البيانات Data Scraping ,"
      إستخراج البيانات من صفحات الويب في المواقع باستخدام لغة البايثون, وحفظ البيانات أو معالجتها حسب الحاجة,-استخراج البيانات المطلوبة من 500 صفحة بمقابل 5$,إتفاقية الاستخدام:,1- الخدمة تقتصر على موقع واحد,2- يجب أن تكون البيانات مرئية ومتاحة,3- توفير رابط الموقع الذي يحتوي على البيانات,4- الخدمة لاتشمل الكود
    ",Yassine Farhi,"python,data,البيانات,تجريف,scraping,bs4,datascraping", 4 ساعات,أربعة أيام,1,تطوير1+,مقابل 10.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ يومين إضافيين.,خدمة مميزة وجهد يشكر عليه الأخ الكريم,https://khamsat.com/programming/content-management-systems/1553785-%D8%A5%D8%B3%D8%AA%D8%AE%D9%84%D8%A7%D8%B5-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-data-scraping,https://avatars.hsoubcdn.com/c0660eb1adc6f66b04a9edd296fab542?s=128
 ٌإستخلاص البيانات Data Scraping ,"
      إستخراج البيانات من صفحات الويب في المواقع باستخدام لغة البايثون, وحفظ البيانات أو معالجتها حسب الحاجة,-استخراج البيانات المطلوبة من 500 صفحة بمقابل 5$,إتفاقية الاستخدام:,1- الخدمة تقتصر على موقع واحد,2- يجب أن تكون البيانات مرئية ومتاحة,3- توفير رابط الموقع الذي يحتوي على البيانات,4- الخدمة لاتشمل الكود
    ",Yassine Farhi,"python,data,البيانات,تجريف,scraping,bs4,datascraping", 4 ساعات,أربعة أيام,1,تطوير2+,مقابل 15.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ يوم إضافي.,خدمة مميزة وجهد يشكر عليه الأخ الكريم,https://khamsat.com/programming/content-management-systems/1553785-%D8%A5%D8%B3%D8%AA%D8%AE%D9%84%D8%A7%D8%B5-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-data-scraping,https://avatars.hsoubcdn.com/c0660eb1adc6f66b04a9edd296fab542?s=128
 ٌإستخلاص البيانات Data Scraping ,"
      إستخراج البيانات من صفحات الويب في المواقع باستخدام لغة البايثون, وحفظ البيانات أو معالجتها حسب الحاجة,-استخراج البيانات المطلوبة من 500 صفحة بمقابل 5$,إتفاقية الاستخدام:,1- الخدمة تقتصر على موقع واحد,2- يجب أن تكون البيانات مرئية ومتاحة,3- توفير رابط الموقع الذي يحتوي على البيانات,4- الخدمة لاتشمل الكود
    ",Yassine Farhi,"python,data,البيانات,تجريف,scraping,bs4,datascraping", 4 ساعات,أربعة أيام,1,كود سورس لاسخراج البيانات,مقابل 45.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ يوم إضافي.,خدمة مميزة وجهد يشكر عليه الأخ الكريم,https://khamsat.com/programming/content-management-systems/1553785-%D8%A5%D8%B3%D8%AA%D8%AE%D9%84%D8%A7%D8%B5-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-data-scraping,https://avatars.hsoubcdn.com/c0660eb1adc6f66b04a9edd296fab542?s=128
 استخراج البيانات من صفحات الويب و تنظيمها ,"
      وصف مقدم الخدمة:,مبرمج لغة Python منذ 3 سنوات و متخصص في مجال الData science,وصف الخدمة:,استخراج البيانات من مواقع الويب المختلفه,يتم استخراج اول 10000 صفحه مقابل 5$ !,سأقوم باستخراج البيانات ( Web Crawling, Data Extraction, Web Scraping) من مواقع الانترنت المختلفه ,صيفة البيانات المستخرجه : (csv, json, xml, txt), لغة البرمجة: python,الإطارات:  scrapy, selenium webdriver, bs4,- الشروط المطلوبه :,يجب تحديد المعلومات التي تريد استخراجها,يجب توفير رابط للموقع الذي تريد استخراج البيانات منه,الخدمه يمكن ان تشمل الكود البرمجي(يتم الاتفاق عليها)
    ",Hamza Benhammouda,"python,بايثون,web,data,البيانات,science,mining,اسخراج,extraction,scarping", يوم,يوم واحد,1,إطلب الكود البرمجي لاستخراج لا محدود,مقابل 30.00$ إضافية على سعر الخدمة.,الف شكر اخى,https://khamsat.com/programming/programming-services/1342092-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D8%B5%D9%81%D8%AD%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D9%8A%D8%A8-%D9%88-%D8%AA%D9%86%D8%B8%D9%8A%D9%85%D9%87%D8%A7,https://avatars.hsoubcdn.com/b23e8caf2daacd154de78ffab9f15882?s=128
 استخراج البيانات من المواقع (Web Scraping) ,"
      مرحباً بكم,إسمي محمود محمد رمضان, مهندس برمجيات.,- أعمل في مجال تطبيقات سطح المكتب منذ 4 سنوات.,- أُجيد التعامل مع لغة السي شارب ومكتبة HtmlAgilityPack ما يٌمكنني من العمل بشكل مُتقن ودقيق حسب المواصفات المطلوبة.,- أٌقدم في هذه الخدمة إستخراج البيانات من عدد 5 صفحات.,- ما ستحصُل عليه مقابل الخدمة:,* البيانات التي تم إستخراجها من موقع واحد أو عدة مواقع بأي صيغة تُريدها مثل txt, XLSX, csv, JSON وغيرهم من أنواع الملفات.,# هذا رابط معرض أعمالي,https://mostaql.com/u/M_Ramada/portfolio
    ",Mahmoud Ramadan,"تطوير,برامج,web,استخراج,سطح,مكتب,scraping", 21 دقيقة,يومين,1,إستخراج بيانات تتكون من عدد 10 صفحات وعرضها فقط.,مقابل 20.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ يومين إضافيين.,الله يعطيك العافيه أخ محمد,https://khamsat.com/programming/desktop-app/1495583-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9-web-scraping,https://avatars.hsoubcdn.com/0f6cb1efa6a4973ea7b6c44838307eaf?s=128
 استخراج البيانات من المواقع (Web Scraping) ,"
      مرحباً بكم,إسمي محمود محمد رمضان, مهندس برمجيات.,- أعمل في مجال تطبيقات سطح المكتب منذ 4 سنوات.,- أُجيد التعامل مع لغة السي شارب ومكتبة HtmlAgilityPack ما يٌمكنني من العمل بشكل مُتقن ودقيق حسب المواصفات المطلوبة.,- أٌقدم في هذه الخدمة إستخراج البيانات من عدد 5 صفحات.,- ما ستحصُل عليه مقابل الخدمة:,* البيانات التي تم إستخراجها من موقع واحد أو عدة مواقع بأي صيغة تُريدها مثل txt, XLSX, csv, JSON وغيرهم من أنواع الملفات.,# هذا رابط معرض أعمالي,https://mostaql.com/u/M_Ramada/portfolio
    ",Mahmoud Ramadan,"تطوير,برامج,web,استخراج,سطح,مكتب,scraping", 21 دقيقة,يومين,1,إستخراج بيانات تتكون من عدد 10 صفحات وحفظها في قاعدة البيانات.,مقابل 30.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ 4 أيام إضافية.,الله يعطيك العافيه أخ محمد,https://khamsat.com/programming/desktop-app/1495583-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9-web-scraping,https://avatars.hsoubcdn.com/0f6cb1efa6a4973ea7b6c44838307eaf?s=128
 استخراج البيانات من المواقع (Web Scraping) ,"
      مرحباً بكم,إسمي محمود محمد رمضان, مهندس برمجيات.,- أعمل في مجال تطبيقات سطح المكتب منذ 4 سنوات.,- أُجيد التعامل مع لغة السي شارب ومكتبة HtmlAgilityPack ما يٌمكنني من العمل بشكل مُتقن ودقيق حسب المواصفات المطلوبة.,- أٌقدم في هذه الخدمة إستخراج البيانات من عدد 5 صفحات.,- ما ستحصُل عليه مقابل الخدمة:,* البيانات التي تم إستخراجها من موقع واحد أو عدة مواقع بأي صيغة تُريدها مثل txt, XLSX, csv, JSON وغيرهم من أنواع الملفات.,# هذا رابط معرض أعمالي,https://mostaql.com/u/M_Ramada/portfolio
    ",Mahmoud Ramadan,"تطوير,برامج,web,استخراج,سطح,مكتب,scraping", 21 دقيقة,يومين,1,عمل أتمتة بحث موقع و إستخراج نتائج البحث لعدد 10 صفحات.,مقابل 50.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ 7 أيام إضافية.,الله يعطيك العافيه أخ محمد,https://khamsat.com/programming/desktop-app/1495583-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9-web-scraping,https://avatars.hsoubcdn.com/0f6cb1efa6a4973ea7b6c44838307eaf?s=128
 استخراج البيانات من المواقع (Web Scraping) ,"
      مرحباً بكم,إسمي محمود محمد رمضان, مهندس برمجيات.,- أعمل في مجال تطبيقات سطح المكتب منذ 4 سنوات.,- أُجيد التعامل مع لغة السي شارب ومكتبة HtmlAgilityPack ما يٌمكنني من العمل بشكل مُتقن ودقيق حسب المواصفات المطلوبة.,- أٌقدم في هذه الخدمة إستخراج البيانات من عدد 5 صفحات.,- ما ستحصُل عليه مقابل الخدمة:,* البيانات التي تم إستخراجها من موقع واحد أو عدة مواقع بأي صيغة تُريدها مثل txt, XLSX, csv, JSON وغيرهم من أنواع الملفات.,# هذا رابط معرض أعمالي,https://mostaql.com/u/M_Ramada/portfolio
    ",Mahmoud Ramadan,"تطوير,برامج,web,استخراج,سطح,مكتب,scraping", 21 دقيقة,يومين,1,عمل أتمتة بحث موقع و إستخراج نتائج البحث لعدد 10 صفحات وحفظها في قواعد البيانات.,مقابل 100.00$ إضافية على سعر الخدمة. سيزيد مدة التنفيذ 14 يوم إضافي.,الله يعطيك العافيه أخ محمد,https://khamsat.com/programming/desktop-app/1495583-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9-web-scraping,https://avatars.hsoubcdn.com/0f6cb1efa6a4973ea7b6c44838307eaf?s=128
 استخراج البيانات من مواقع الانترنت المختلفة (Web Scraping) ,"
      مقابل 5$ دولار يتم استخراج 300 سطر سأقوم باستخراج البيانات,من أي موقع على الإنترنت باستخدام لغة بايثون,وتقديم النتيجة بواحد من الصيغ التالية:,- XLSX,- CSV,- JSON,من فضلكم للبدء في المشروع يشترط:,ـ أن تكون البيانات المطلوب استخراجها متاحة للعموم,ـ ألا يتم استخدام البيانات المستخرجة بشكل غير قانوني,نضمن لكم إن شاء الله:,- التسليم في الموعد المحدد,- الرضا التام عن مستوى وأداء الخدمة,- بالطبع يمكنك المتابعة بعد التسليم,لرؤية أعمالي المتاحة للعرض:,https://mostaql.com/u/wssam_hassan/portfolio,ولمزيد من الإضافات يرجى مراجعة قسم تطويرات الخدمة ...
    ",وسام حسن,"برمجة,بايثون,ويب,web,سكراب,scraping,scrape", 4 ساعات,يومين,1,استخراج حتى 1000 سطر,مقابل 10.00$ إضافية على سعر الخدمة.,بارك الله فيك,https://khamsat.com/programming/python-programming/1939064-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D9%84%D9%81%D8%A9-web-scraping,https://avatars.hsoubcdn.com/6549f99fb07cd8844c40f003bbd950cf?s=128
 استخراج البيانات من مواقع الانترنت المختلفة (Web Scraping) ,"
      مقابل 5$ دولار يتم استخراج 300 سطر سأقوم باستخراج البيانات,من أي موقع على الإنترنت باستخدام لغة بايثون,وتقديم النتيجة بواحد من الصيغ التالية:,- XLSX,- CSV,- JSON,من فضلكم للبدء في المشروع يشترط:,ـ أن تكون البيانات المطلوب استخراجها متاحة للعموم,ـ ألا يتم استخدام البيانات المستخرجة بشكل غير قانوني,نضمن لكم إن شاء الله:,- التسليم في الموعد المحدد,- الرضا التام عن مستوى وأداء الخدمة,- بالطبع يمكنك المتابعة بعد التسليم,لرؤية أعمالي المتاحة للعرض:,https://mostaql.com/u/wssam_hassan/portfolio,ولمزيد من الإضافات يرجى مراجعة قسم تطويرات الخدمة ...
    ",وسام حسن,"برمجة,بايثون,ويب,web,سكراب,scraping,scrape", 4 ساعات,يومين,1,استخراج حتى 2000 سطر,مقابل 15.00$ إضافية على سعر الخدمة.,بارك الله فيك,https://khamsat.com/programming/python-programming/1939064-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D9%86-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D9%84%D9%81%D8%A9-web-scraping,https://avatars.hsoubcdn.com/6549f99fb07cd8844c40f003bbd950cf?s=128
